Date,VFICX,VWEHX,VFISX,SPY,IRX
2000-02-29,0.009020011668048555,0.0014124697430555333,0.007565497805811283,-0.015226374098383455,0.004711062212398254
2000-03-31,0.02294380191188794,-0.007670341365609734,0.014665864629834768,0.08021265090505736,0.009511616998944206
2000-04-30,0.00789283610841296,-0.0002274103002375405,0.0166144934150374,0.04227502037918707,0.014275941488515853
2000-05-31,0.0030561492467346962,-0.012245587256538903,0.019707563755983815,0.02588763983659126,0.018926884647141096
2000-06-30,0.02935392851968821,0.012137994416020481,0.032965686014745366,0.046079419385986586,0.02377830017709104
2000-07-31,0.04022009210858046,0.0241614336256204,0.039281772146275706,0.029653261926991137,0.028927158888852667
2000-08-31,0.05458945128798276,0.040616661605458404,0.04885331435085272,0.09693197889683502,0.034179473290835816
2000-09-30,0.06766434015429534,0.026625058704483395,0.05710641712102249,0.03675190912395254,0.03938930406258834
2000-10-31,0.06723623939818402,0.008313145845455061,0.06351853386143391,0.031901982182219735,0.04472984778261857
2000-11-30,0.08637319487874717,-0.026518761187854012,0.07607734684938028,-0.04513258083389149,0.04997532789527481
2000-12-31,0.11049657688862546,-0.0005339972731811526,0.09101287132718627,-0.05012338303454533,0.05500094922468879
2001-01-31,0.13246207384486053,0.047805952061844126,0.10475188390949985,-0.007892593907251833,0.05926471266375688
2001-02-28,0.14664319383673985,0.05492990961958544,0.1136357289898251,-0.10252710442538382,0.06343935843582016
2001-03-31,0.1543857688393231,0.04179403006268645,0.12234907826743457,-0.1528188900682944,0.06715013122583402
2001-04-30,0.1440811941838438,0.040501701610322405,0.12301290597930614,-0.08043551164436724,0.07056155983558732
2001-05-31,0.15313622911716096,0.04855602555123517,0.12813091349715733,-0.08559054047777437,0.07372437926797981
2001-06-30,0.1594098258248695,0.019168769611507264,0.1318411786439353,-0.10738018465482391,0.07691449120152405
2001-07-31,0.19384395284217293,0.03174571691036432,0.1478084331279057,-0.11648125476988047,0.08000607528107828
2001-08-31,0.20907933395309164,0.04109771251468275,0.1568113487904521,-0.1689027879750653,0.082962129962042
2001-09-30,0.21793074727220474,-0.008371192547224404,0.17630417999490722,-0.23674577299652255,0.08503979779702475
2001-10-31,0.2428464546157143,0.007512554724398379,0.18957889103447356,-0.2268068658152509,0.08685876240728785
2001-11-30,0.2269339860117252,0.03593787076116395,0.1797344633856579,-0.16651489694075727,0.08842678048182706
